TYPE,SOURCE,DATE,SUMMARY,INDEXS,DATA,DATA_HR,SUMMARY_HR,SYNC,SYNC_QQHEALTH,TIME_ZONE,DEVICE_ID,USER_SUMMARY
0,5,2015-12-09,"{""v"":5,""slp"":{""st"":1449658980,""ed"":1449686580,""dp"":167,""lt"":289,""wk"":4},""stp"":{""ttl"":6078,""dis"":4357,""cal"":252,""wk"":85,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-10,"{""v"":5,""slp"":{""st"":1449727200,""ed"":1449727200,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":13939,""dis"":9503,""cal"":545,""wk"":191,""rn"":1,""runDist"":132,""runCal"":7},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-11,"{""v"":5,""slp"":{""st"":1449822180,""ed"":1449846840,""dp"":173,""lt"":189,""wk"":49},""stp"":{""ttl"":13177,""dis"":9097,""cal"":514,""wk"":179,""rn"":1,""runDist"":78,""runCal"":4},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-12,"{""v"":5,""slp"":{""st"":1449913560,""ed"":1449950040,""dp"":304,""lt"":304,""wk"":0},""stp"":{""ttl"":8183,""dis"":5526,""cal"":323,""wk"":120,""rn"":0,""runDist"":14,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-13,"{""v"":5,""slp"":{""st"":1450003380,""ed"":1450037100,""dp"":167,""lt"":386,""wk"":9},""stp"":{""ttl"":4451,""dis"":3176,""cal"":182,""wk"":68,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-14,"{""v"":5,""slp"":{""st"":1450085460,""ed"":1450104660,""dp"":108,""lt"":132,""wk"":80},""stp"":{""ttl"":7998,""dis"":5649,""cal"":321,""wk"":101,""rn"":0,""runDist"":22,""runCal"":1},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-15,"{""v"":5,""slp"":{""st"":1450170000,""ed"":1450182780,""dp"":111,""lt"":102,""wk"":0},""stp"":{""ttl"":8141,""dis"":5647,""cal"":332,""wk"":111,""rn"":0,""runDist"":50,""runCal"":2},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-16,"{""v"":5,""slp"":{""st"":1450204200,""ed"":1450204200,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":2010,""dis"":1404,""cal"":80,""wk"":36,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-17,"{""v"":5,""slp"":{""st"":1450305960,""ed"":1450318200,""dp"":96,""lt"":108,""wk"":0},""stp"":{""ttl"":7214,""dis"":4867,""cal"":282,""wk"":103,""rn"":1,""runDist"":99,""runCal"":5},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-18,"{""v"":5,""slp"":{""st"":1450372860,""ed"":1450407600,""dp"":182,""lt"":324,""wk"":73},""stp"":{""ttl"":11202,""dis"":7719,""cal"":438,""wk"":140,""rn"":1,""runDist"":162,""runCal"":8},""goal"":10000}",,,,,1,1,,,
