# Accelerometer Data File
# Started @Sat Jul 23 22:55:24 PDT 2016
#
#
# sensor Vendor: InvenSense
# sensor Name: MPU6515 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 19.613297; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-6.189 3.579 6.633 5
-6.231 3.609 6.622 5
-6.244 3.606 6.564 5
-6.241 3.622 6.553 5
-6.282 3.62 6.621 5
-6.271 3.573 6.583 5
-6.239 3.579 6.662 5
-6.258 3.586 6.659 5
-6.26 3.613 6.684 5
-6.246 3.593 6.723 5
-6.218 3.617 6.711 5
-6.218 3.602 6.715 5
-6.22 3.581 6.703 5
-6.227 3.588 6.718 5
-6.217 3.601 6.659 5
-6.207 3.624 6.643 5
-6.239 3.63 6.696 5
-6.225 3.625 6.699 5
-6.217 3.62 6.677 5
-6.223 3.628 6.686 5
-6.188 3.61 6.718 5
-6.191 3.614 6.718 6
-6.209 3.613 6.625 5
-6.204 3.591 6.6 5
-6.203 3.604 6.612 5
-6.204 3.61 6.59 5
-6.176 3.622 6.58 5
-6.145 3.663 6.605 5
-6.174 3.652 6.657 5
-6.187 3.626 6.613 5
-6.191 3.632 6.666 5
-6.19 3.637 6.627 5
-6.178 3.638 6.651 5
-6.188 3.654 6.65 5
-6.144 3.646 6.691 5
-6.171 3.645 6.628 5
-6.212 3.626 6.669 5
-6.211 3.621 6.711 5
-6.218 3.64 6.677 5
-6.207 3.619 6.739 5
-6.225 3.625 6.656 5
-6.217 3.583 6.69 5
-6.222 3.562 6.713 5
-6.218 3.604 6.683 5
-6.245 3.585 6.653 5
-6.195 3.587 6.718 5
-6.223 3.596 6.713 5
-6.208 3.577 6.714 5
-6.2 3.627 6.721 5
-6.205 3.579 6.711 6
-6.201 3.58 6.696 5
-6.204 3.607 6.662 5
-6.189 3.579 6.591 5
-6.148 3.575 6.572 5
-6.14 3.622 6.601 5
-6.109 3.638 6.641 5
-6.095 3.638 6.678 5
-6.111 3.642 6.655 5
-6.13 3.622 6.618 5
-6.156 3.586 6.589 5
-6.194 3.562 6.612 5
-6.228 3.556 6.624 5
-6.219 3.575 6.673 5
-6.24 3.576 6.658 5
-6.241 3.59 6.589 5
-6.273 3.606 6.593 5
-6.249 3.606 6.604 5
-6.197 3.617 6.461 5
-6.169 3.619 6.499 5
-6.185 3.601 6.499 5
-6.254 3.528 6.473 5
-6.321 3.545 6.505 5
-6.335 3.496 6.449 5
-6.307 3.468 6.476 5
