RecordedDate	startTime	endTime	Calories	Distance	Height	lowLatitude	lowLongitude	highLatitude	highLongitude	avgSpeed	maxSpeed	minSpeed	stepCount	avgWeight	maxWeight	minWeight	bikingDuration	inactiveDuration	walkingDuration
11-22-2014	06:15:00.000+05:30	06:30:00.000+05:30																900000	
11-22-2014	06:30:00.000+05:30	06:45:00.000+05:30																900000	
11-22-2014	06:45:00.000+05:30	07:00:00.000+05:30																900000	
11-22-2014	07:00:00.000+05:30	07:15:00.000+05:30																900000	
11-22-2014	07:15:00.000+05:30	07:30:00.000+05:30																900000	
11-22-2014	07:30:00.000+05:30	07:45:00.000+05:30																900000	
11-22-2014	07:45:00.000+05:30	08:00:00.000+05:30																900000	
11-22-2014	08:00:00.000+05:30	08:15:00.000+05:30																900000	
11-22-2014	08:15:00.000+05:30	08:30:00.000+05:30																900000	
11-22-2014	08:30:00.000+05:30	08:45:00.000+05:30																900000	
11-22-2014	08:45:00.000+05:30	09:00:00.000+05:30																900000	
11-22-2014	09:00:00.000+05:30	09:15:00.000+05:30																900000	
11-22-2014	09:15:00.000+05:30	09:30:00.000+05:30				22.6856212615967	88.4486389160156	22.6856212615967	88.4486389160156				1					900000	
11-22-2014	09:30:00.000+05:30	09:45:00.000+05:30																900000	
11-22-2014	09:45:00.000+05:30	10:00:00.000+05:30																900000	
11-22-2014	10:00:00.000+05:30	10:15:00.000+05:30																900000	
11-22-2014	10:15:00.000+05:30	10:30:00.000+05:30																900000	
11-22-2014	10:30:00.000+05:30	10:45:00.000+05:30																900000	
11-22-2014	10:45:00.000+05:30	11:00:00.000+05:30				22.685619354248	88.4486389160156	22.685619354248	88.4486389160156									900000	
11-22-2014	11:00:00.000+05:30	11:15:00.000+05:30																900000	
11-22-2014	11:15:00.000+05:30	11:30:00.000+05:30				22.6856575012207	88.4456405639648	22.6863746643066	88.4487152099609				106				607901	292099	
11-22-2014	11:30:00.000+05:30	11:45:00.000+05:30				22.6793918609619	88.4519882202148	22.6793918609619	88.4519882202148								900000		
11-22-2014	11:45:00.000+05:30	12:00:00.000+05:30				22.6410579681396	88.430778503418	22.6759166717529	88.44921875	1.34629118442535	1.34629118442535	1.34629118442535	141				480309	242289	177402
11-22-2014	12:00:00.000+05:30	12:15:00.000+05:30											83				230030	50657	83268
11-22-2014	12:15:00.000+05:30	12:30:00.000+05:30				22.6213245391846	88.4010314941406	22.6292114257812	88.4197692871094	3.75	3.75	3.75					900000		
11-22-2014	12:30:00.000+05:30	12:45:00.000+05:30				22.6198329925537	88.3932266235352	22.6208553314209	88.3932495117188				491				135782	326991	150899
11-22-2014	12:45:00.000+05:30	13:00:00.000+05:30				22.7082328796387	88.3872680664063	22.7082328796387	88.3872680664063										
11-22-2014	13:00:00.000+05:30	13:15:00.000+05:30				22.7584381103516	88.3747482299805	22.7584381103516	88.3747482299805				812						435058
11-22-2014	13:15:00.000+05:30	13:30:00.000+05:30				22.7593097686768	88.3750381469727	22.759334564209	88.3750839233398				209					369533	32778
11-22-2014	13:30:00.000+05:30	13:45:00.000+05:30																900000	
11-22-2014	13:45:00.000+05:30	14:00:00.000+05:30											11					900000	
11-22-2014	14:00:00.000+05:30	14:15:00.000+05:30											16					870634	
11-22-2014	14:15:00.000+05:30	14:30:00.000+05:30											4					900000	
11-22-2014	14:30:00.000+05:30	14:45:00.000+05:30											17					819226	
11-22-2014	14:45:00.000+05:30	15:00:00.000+05:30											2					900000	
11-22-2014	15:00:00.000+05:30	15:15:00.000+05:30											8					900000	
11-22-2014	15:15:00.000+05:30	15:30:00.000+05:30																900000	
11-22-2014	15:30:00.000+05:30	15:45:00.000+05:30																900000	
11-22-2014	15:45:00.000+05:30	16:00:00.000+05:30																900000	
11-22-2014	16:00:00.000+05:30	16:15:00.000+05:30																900000	
11-22-2014	16:15:00.000+05:30	16:30:00.000+05:30																900000	
11-22-2014	16:30:00.000+05:30	16:45:00.000+05:30																900000	
11-22-2014	16:45:00.000+05:30	17:00:00.000+05:30																900000	
11-22-2014	17:00:00.000+05:30	17:15:00.000+05:30																900000	
11-22-2014	17:15:00.000+05:30	17:30:00.000+05:30																900000	
11-22-2014	17:30:00.000+05:30	17:45:00.000+05:30											9					731678	
11-22-2014	17:45:00.000+05:30	18:00:00.000+05:30											25					900000	
11-22-2014	18:00:00.000+05:30	18:15:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				30					900000	
11-22-2014	18:15:00.000+05:30	18:30:00.000+05:30																900000	
11-22-2014	18:30:00.000+05:30	18:45:00.000+05:30											43					351674	
11-22-2014	18:45:00.000+05:30	19:00:00.000+05:30				22.7574520111084	88.3737258911133	22.7616386413574	88.3742599487305										
11-22-2014	19:00:00.000+05:30	19:15:00.000+05:30				22.7592163085937	88.3740005493164	22.7592830657959	88.3742294311523										
11-22-2014	19:15:00.000+05:30	19:30:00.000+05:30				22.759334564209	88.3750381469727	22.759334564209	88.3750381469727				47					702773	29507
11-22-2014	19:30:00.000+05:30	19:45:00.000+05:30				22.7584609985352	88.3747406005859	22.75927734375	88.3747406005859				81						129867
11-22-2014	19:45:00.000+05:30	20:00:00.000+05:30				22.7592010498047	88.3739547729492	22.759334564209	88.3750381469727				4					461924	
11-22-2014	20:00:00.000+05:30	20:15:00.000+05:30											14					900000	
11-22-2014	20:15:00.000+05:30	20:30:00.000+05:30																900000	
11-22-2014	20:30:00.000+05:30	20:45:00.000+05:30																900000	
11-22-2014	20:45:00.000+05:30	21:00:00.000+05:30																900000	
11-22-2014	21:00:00.000+05:30	21:15:00.000+05:30																900000	
11-22-2014	21:15:00.000+05:30	21:30:00.000+05:30				22.758975982666	88.37451171875	22.759334564209	88.3750381469727									900000	
11-22-2014	21:30:00.000+05:30	21:45:00.000+05:30				22.7592067718506	88.3748397827148	22.7592067718506	88.3748397827148									900000	
11-22-2014	21:45:00.000+05:30	22:00:00.000+05:30				22.759241104126	88.3749008178711	22.759241104126	88.3749008178711									900000	
